company_id,company_name,companyHR_id,company_location,company_email,company_website
1,DataRangers,1,Faisalabad,datarangers@example.com,datarangers.com
2,DataLogic,2,Gujranwala,datalogic@example.com,datalogic.com
3,InnoWorks Solutions,3,Quetta,innoworkssolutions@example.com,innoworkssolutions.com
4,CyberTech Solutions,4,Faisalabad,cybertechsolutions@example.com,cybertechsolutions.com
5,InfoNest Technologies,5,Faisalabad,infonesttechnologies@example.com,infonesttechnologies.com
6,WebSphere,6,Bahawalpur,websphere@example.com,websphere.com
7,CodeWave Solutions,7,Abbottabad,codewavesolutions@example.com,codewavesolutions.com
8,WebMatrix,8,Sialkot,webmatrix@example.com,webmatrix.com
9,CloudSphere Systems,9,Quetta,cloudspheresystems@example.com,cloudspheresystems.com
10,WebEdge,10,Abbottabad,webedge@example.com,webedge.com
11,TechForge,11,Hyderabad,techforge@example.com,techforge.com
12,TechBurst,12,Abbottabad,techburst@example.com,techburst.com
13,CyberTech Solutions,13,Sukkur,cybertechsolutions@example.com,cybertechsolutions.com
14,TechForge Innovations,14,Rawalpindi,techforgeinnovations@example.com,techforgeinnovations.com
15,InfoCraft,15,Sukkur,infocraft@example.com,infocraft.com
16,InfoWorks Co.,16,Karachi,infoworksco.@example.com,infoworksco..com
17,TechBurst,17,Hyderabad,techburst@example.com,techburst.com
18,CodeSphere Innovations,18,Multan,codesphereinnovations@example.com,codesphereinnovations.com
19,NetGenius Technologies,19,Gujranwala,netgeniustechnologies@example.com,netgeniustechnologies.com
20,CodeCloud Solutions,20,Bahawalpur,codecloudsolutions@example.com,codecloudsolutions.com
21,CodeCrafters,21,Rawalpindi,codecrafters@example.com,codecrafters.com
22,CyberSolutions,22,Nawabshah,cybersolutions@example.com,cybersolutions.com
23,InfoSphere Innovations,23,Islamabad,infosphereinnovations@example.com,infosphereinnovations.com
24,CodeSavvy Solutions,24,Rawalpindi,codesavvysolutions@example.com,codesavvysolutions.com
25,TechStorm,25,Nawabshah,techstorm@example.com,techstorm.com
26,CyberVerse,26,Nawabshah,cyberverse@example.com,cyberverse.com
27,InnoCraft,27,Abbottabad,innocraft@example.com,innocraft.com
28,DataStorm Co.,28,Rawalpindi,datastormco.@example.com,datastormco..com
29,DataCloud Innovations,29,Rawalpindi,datacloudinnovations@example.com,datacloudinnovations.com
30,DataStream Innovations,30,Sukkur,datastreaminnovations@example.com,datastreaminnovations.com
31,CloudEdge Innovations,31,Gujranwala,cloudedgeinnovations@example.com,cloudedgeinnovations.com
32,TechFusion,32,Peshawar,techfusion@example.com,techfusion.com
33,InnoGenius,33,Nawabshah,innogenius@example.com,innogenius.com
34,TechNest Innovations,34,Peshawar,technestinnovations@example.com,technestinnovations.com
35,DataDynamix,35,Islamabad,datadynamix@example.com,datadynamix.com
36,InnoStream Co.,36,Rawalpindi,innostreamco.@example.com,innostreamco..com
37,ByteStorm,37,Nawabshah,bytestorm@example.com,bytestorm.com
38,InfoStream Innovations,38,Sialkot,infostreaminnovations@example.com,infostreaminnovations.com
39,WebCrafters Co.,39,Nawabshah,webcraftersco.@example.com,webcraftersco..com
40,DataCraft,40,Multan,datacraft@example.com,datacraft.com
41,InnoGenius,41,Peshawar,innogenius@example.com,innogenius.com
42,WebWeavers,42,Nawabshah,webweavers@example.com,webweavers.com
43,CloudSavvy,43,Gujranwala,cloudsavvy@example.com,cloudsavvy.com
44,InfoCraft Co.,44,Rawalpindi,infocraftco.@example.com,infocraftco..com
45,DataStream Co.,45,Lahore,datastreamco.@example.com,datastreamco..com
46,InnoStream,46,Sialkot,innostream@example.com,innostream.com
47,WebWorks,47,Islamabad,webworks@example.com,webworks.com
48,InnoWare Innovations,48,Abbottabad,innowareinnovations@example.com,innowareinnovations.com
49,ByteForge Technologies,49,Nawabshah,byteforgetechnologies@example.com,byteforgetechnologies.com
50,CloudSphere,50,Bahawalpur,cloudsphere@example.com,cloudsphere.com
51,TechMatrix,51,Bahawalpur,techmatrix@example.com,techmatrix.com
52,CyberMatrix Solutions,52,Nawabshah,cybermatrixsolutions@example.com,cybermatrixsolutions.com
53,WebWise Solutions,53,Nawabshah,webwisesolutions@example.com,webwisesolutions.com
54,InfoCloud Co.,54,Nawabshah,infocloudco.@example.com,infocloudco..com
55,WebEdge,55,Nawabshah,webedge@example.com,webedge.com
56,DataCompass Solutions,56,Lahore,datacompasssolutions@example.com,datacompasssolutions.com
57,InnoWare Solutions,57,Sialkot,innowaresolutions@example.com,innowaresolutions.com
58,CodeCloud Solutions,58,Islamabad,codecloudsolutions@example.com,codecloudsolutions.com
